month,from,to,distance_km,start_time,end_time
1,Weppersdorf,Kaisersdorf,5.81,2024-01-25T11:12:08.547Z,2024-01-25T11:20:09.745Z
1,Kaisersdorf,Weppersdorf,5.96,2024-01-25T11:31:14.040Z,2024-01-25T11:44:55.499Z
1,Weppersdorf,Mattersburg,18.04,2024-01-25T12:42:00.452Z,2024-01-25T12:58:06.629Z
1,Mattersburg,Weppersdorf,18.06,2024-01-25T13:50:10.220Z,2024-01-25T14:06:20.701Z
1,Weppersdorf,Weppersdorf,1.21,2024-01-27T09:05:49.491Z,2024-01-27T09:21:57.068Z
1,Weppersdorf,Weppersdorf,1.19,2024-01-27T09:36:04.715Z,2024-01-27T09:40:06.870Z
1,Weppersdorf,Hammerteich,20.07,2024-01-28T15:07:30.954Z,2024-01-28T15:41:00.843Z
1,Hammerteich,Weppersdorf,20.08,2024-01-28T16:29:55.296Z,2024-01-28T17:04:11.988Z
1,Weppersdorf,Kaisersdorf,5.81,2024-01-29T10:57:11.723Z,2024-01-29T11:08:33.536Z
1,Kaisersdorf,Horitschon,13.01,2024-01-29T11:24:40.511Z,2024-01-29T11:40:45.767Z
1,Horitschon,Weppersdorf,9.25,2024-01-29T12:59:55.009Z,2024-01-29T13:14:02.122Z
1,Weppersdorf,Kaisersdorf,5.9,2024-01-30T10:54:54.075Z,2024-01-30T11:12:38.406Z
1,Kaisersdorf,Weppersdorf,5.79,2024-01-30T11:29:30.883Z,2024-01-30T12:20:00.264Z
1,Weppersdorf,Kaisersdorf,5.94,2024-01-31T07:11:46.951Z,2024-01-31T07:23:06.329Z
1,Kaisersdorf,Weppersdorf,5.8,2024-01-31T07:29:35.480Z,2024-01-31T07:35:36.693Z
1,Weppersdorf,Vienna,65.97,2024-01-31T07:40:43.327Z,2024-01-31T08:31:23.783Z
1,Vienna,Vienna,12.79,2024-01-31T09:55:35.802Z,2024-01-31T10:21:58.802Z
1,Vienna,Vienna,0.49,2024-01-31T10:27:17.801Z,2024-01-31T10:29:58.803Z
1,Vienna,Schwechat,15.63,2024-01-31T10:37:08.803Z,2024-01-31T11:05:22.240Z
1,Schwechat,Vienna,20.79,2024-01-31T11:33:23.473Z,2024-01-31T12:13:03.808Z
